City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,68,CK,1568656406,78,-21.21,-159.78,73.4,6.93
1,chernyshevskiy,20,RU,1568656406,83,63.01,112.47,24.43,2.75
2,jamestown,0,AU,1568656406,72,-33.21,138.6,37.93,12.17
3,hobart,14,AU,1568656406,69,-42.88,147.33,41.0,9.17
4,effium,95,NG,1568656407,85,6.63,8.06,79.15,1.81
5,victoria,75,BN,1568656377,83,5.28,115.24,80.6,5.64
6,kapaa,1,US,1568656325,78,22.08,-159.32,82.4,11.41
7,znamenskoye,29,RU,1568656407,75,57.13,73.82,55.75,6.96
8,ushuaia,75,AR,1568656407,86,-54.81,-68.31,41.0,5.82
9,baghdad,0,IQ,1568656191,29,33.3,44.38,89.6,10.29
10,englehart,1,CA,1568656408,52,47.82,-79.87,68.0,4.7
11,fortuna,20,US,1568656408,82,40.6,-124.16,64.99,4.79
12,yellowknife,75,CA,1568656408,70,62.45,-114.38,48.2,13.87
13,vardo,40,US,1568656408,51,39.62,-77.74,90.0,3.36
14,castro,75,CL,1568656409,62,-42.48,-73.76,53.6,11.41
15,puerto ayora,20,EC,1568656409,47,-0.74,-90.35,78.8,14.99
16,harseni,0,RO,1568656409,60,45.75,25.02,59.0,1.74
17,corinto,40,CO,1568656410,51,3.17,-76.26,86.0,3.36
18,bilibino,0,RU,1568656410,85,68.06,166.44,32.17,1.57
19,chokurdakh,81,RU,1568656410,84,70.62,147.9,41.35,4.16
20,husavik,2,CA,1568656410,51,50.56,-96.99,80.01,4.0
21,rikitea,0,PF,1568656410,69,-23.12,-134.97,67.99,20.07
22,qaanaaq,0,GL,1568656411,45,77.48,-69.36,24.43,5.44
23,torbay,75,CA,1568656342,77,47.66,-52.73,66.99,8.05
24,tiznit,83,MA,1568656411,79,29.7,-9.73,71.95,7.96
25,lucapa,94,AO,1568656414,54,-8.42,20.74,78.43,6.98
26,mar del plata,99,AR,1568656414,32,-46.43,-67.52,58.09,30.24
27,basco,20,US,1568656415,79,40.33,-91.2,90.0,4.12
28,albany,1,US,1568656363,59,42.65,-73.75,72.0,3.36
29,cabo san lucas,5,MX,1568656329,55,22.89,-109.91,91.99,5.82
30,barrow,0,AR,1568656415,33,-38.31,-60.23,58.99,13.73
31,talnakh,0,RU,1568656416,64,69.49,88.39,37.4,22.37
32,sitka,71,US,1568656416,38,37.17,-99.65,91.0,23.0
33,hithadhoo,100,MV,1568656416,71,-0.6,73.08,82.93,5.35
34,vaini,62,IN,1568656416,96,15.34,74.49,75.55,2.98
35,port alfred,1,ZA,1568656416,89,-33.59,26.89,66.99,1.99
36,hilo,90,US,1568656417,64,19.71,-155.08,75.99,5.82
37,butaritari,23,KI,1568656417,71,3.07,172.79,84.01,12.48
38,tuktoyaktuk,75,CA,1568656417,80,69.44,-133.03,41.0,18.34
39,pangnirtung,40,CA,1568656417,69,66.15,-65.72,39.2,4.7
40,teya,75,MX,1568656418,62,21.05,-89.07,89.6,6.93
41,kruisfontein,56,ZA,1568656418,82,-34.0,24.73,60.61,2.53
42,pevek,0,RU,1568656418,79,69.7,170.27,43.33,12.44
43,kaitangata,75,NZ,1568656418,79,-46.28,169.85,37.99,17.0
44,biak,100,ID,1568656418,98,-0.91,122.88,60.61,4.14
45,busselton,2,AU,1568656419,72,-33.64,115.35,53.01,8.48
46,atuona,0,PF,1568656419,72,-9.8,-139.03,79.15,13.33
47,rosarito,75,CO,1568656419,72,4.91,-75.23,84.2,9.17
48,ilulissat,75,GL,1568656419,86,69.22,-51.1,37.4,4.7
49,maymyo,90,MM,1568656420,100,22.03,96.47,78.8,11.41
50,yarmouth,75,CA,1568656420,77,43.84,-66.12,64.0,11.41
51,ribeira grande,75,PT,1568656420,88,38.52,-28.7,73.4,18.34
52,mataura,97,NZ,1568656420,85,-46.19,168.86,39.99,11.01
53,airai,98,TL,1568656420,88,-8.93,125.41,67.81,3.27
54,nalut,0,LY,1568656421,23,31.86,10.98,82.75,8.23
55,salgueiro,68,BR,1568656421,23,-8.07,-39.12,92.65,15.95
56,bluff,0,AU,1568656421,78,-23.58,149.07,55.03,4.68
57,belyy yar,5,RU,1568656421,93,53.6,91.39,44.6,2.24
58,defiance,75,US,1568656422,65,41.28,-84.36,82.4,3.36
59,charters towers,16,AU,1568656422,94,-20.07,146.27,53.77,3.11
60,padang,98,ID,1568656422,73,-0.92,100.36,78.61,7.49
61,saint george,0,GR,1568656422,60,39.45,22.34,77.0,4.7
62,colonia leopoldina,40,BR,1568656422,54,-8.91,-35.73,82.4,13.87
63,peniche,0,PT,1568656423,68,39.36,-9.38,79.0,12.75
64,punta arenas,75,CL,1568656423,66,-53.16,-70.91,50.0,28.86
65,bredasdorp,0,ZA,1568656423,72,-34.53,20.04,62.01,5.82
66,cape town,0,ZA,1568656202,77,-33.93,18.42,66.0,10.29
67,douentza,51,ML,1568656423,38,15.01,-2.95,92.29,10.18
68,yulara,0,AU,1568656424,40,-25.24,130.99,68.0,8.05
69,nishihara,75,JP,1568656424,94,35.74,139.53,75.99,10.29
70,kindersley,20,CA,1568656424,60,51.47,-109.16,80.01,3.36
71,jacqueville,40,CI,1568656424,83,5.21,-4.42,80.6,11.41
72,chegdomyn,0,RU,1568656424,92,51.13,133.04,29.65,1.59
73,leshan,100,CN,1568656268,95,29.56,103.76,64.57,1.19
74,vestmannaeyjar,40,IS,1568656425,81,63.44,-20.27,46.4,16.11
75,kahului,1,US,1568656324,73,20.89,-156.47,80.6,5.82
76,labuhan,39,ID,1568656425,88,-2.54,115.51,71.77,0.92
77,faanui,80,PF,1568656425,80,-16.48,-151.75,77.17,17.05
78,khatanga,36,RU,1568656425,87,71.98,102.47,30.19,6.02
79,alofi,75,NU,1568656426,88,-19.06,-169.92,77.0,3.36
80,upernavik,97,GL,1568656426,57,72.79,-56.15,30.73,10.22
81,dingle,96,PH,1568656426,89,11.0,122.67,75.91,8.05
82,severobaykalsk,84,RU,1568656426,98,55.65,109.32,15.25,3.65
83,saskylakh,100,RU,1568656426,98,71.97,114.09,35.59,5.84
84,pastavy,35,BY,1568656427,71,55.11,26.84,48.73,12.8
85,gat,40,SN,1568656427,94,14.69,-16.54,73.4,11.41
86,cidreira,48,BR,1568656427,69,-30.17,-50.22,74.83,11.68
87,concordia,90,AR,1568656427,59,-31.4,-58.02,64.4,18.34
88,klaksvik,40,FO,1568656427,65,62.23,-6.59,46.4,24.16
89,bonavista,95,CA,1568656305,84,48.65,-53.11,55.99,1.01
90,binga,0,ZW,1568656428,17,-17.62,27.34,71.41,5.1
91,hermanus,0,ZA,1568656428,89,-34.42,19.24,63.0,10.22
92,fort nelson,90,CA,1568656428,93,58.81,-122.69,42.8,4.7
93,richmond,90,CA,1568656235,100,49.16,-123.14,61.0,4.16
94,port elizabeth,90,US,1568656429,39,39.31,-74.98,86.0,4.7
95,carballo,20,ES,1568656429,78,43.21,-8.69,71.6,6.93
96,kaele,58,CM,1568656429,87,10.11,14.45,75.73,5.37
97,sisimiut,49,GL,1568656429,73,66.94,-53.67,39.01,4.12
98,gidam,60,IN,1568656430,97,18.98,81.4,74.65,1.57
99,mount darwin,0,ZW,1568656430,32,-16.77,31.58,69.79,7.29
100,maniitsoq,0,GL,1568656401,67,65.42,-52.9,39.73,10.22
101,port lincoln,0,AU,1568656430,61,-34.72,135.86,52.51,15.46
102,ocean city,1,US,1568656180,46,30.44,-86.61,96.01,3.36
103,coihaique,75,CL,1568656431,57,-45.58,-72.07,51.8,6.93
104,waitati,55,NZ,1568656431,53,-45.75,170.57,43.0,27.0
105,tubuala,40,PA,1568656431,78,9.52,-79.03,84.99,6.93
106,nara,90,JP,1568656432,78,34.68,135.8,77.0,10.29
107,abaza,0,RU,1568656432,89,52.65,90.1,46.21,2.35
108,nanortalik,100,GL,1568656432,64,60.14,-45.24,42.43,7.67
109,new norfolk,14,AU,1568656432,64,-42.78,147.06,41.0,11.41
110,bambous virieux,40,MU,1568656432,83,-20.34,57.76,71.6,3.36
111,puro,99,PH,1568656433,87,13.13,123.76,79.87,12.24
112,cururupu,59,BR,1568656433,49,-1.82,-44.87,90.49,5.12
